,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
58,58,True,[ 2.18196806 19.85143055],[ 2.36535814 19.59711761],1,277768,0,0.0,2,0.18339007632081594,0.326973776229856,seagreen,"[(3.9587789431232556, 20.728262008073198), (1.6162070000174102, 22.88702827404337), (2.244370591583326, 19.904961146261982)]"
59,59,True,[0.10911293 8.92798444],[7.35887609e-03 8.71485889e+00],1,310763,0,0.0,1,0.531871209085426,0.0526898388502538,whitesmoke,"[(0.9966621841616223, 9.651472229317003), (3.0270000181284944, 10.898727738771175), (0.3703045287756479, 8.376091974968942)]"
60,60,True,[ 6.88725724 13.79677   ],[ 6.92693077 13.49052121],1,378670,0,0.0,1,0.3570617996082487,0.9187463870635689,gold,"[(6.069442714176273, 13.544593086911886), (8.52762657377719, 13.79755154418563), (8.082195351461623, 12.533783125780198)]"
61,61,True,[20.61086756  6.13551285],[20.52409243  5.76117356],1,452046,0,0.0,1,0.7809761363642529,0.673810717450136,darkslateblue,"[(18.35940329075977, 2.7806062718946523), (16.801521864319792, 2.869793309648383), (15.866660106254674, 6.288824311765153)]"
62,62,True,[ 2.21270253 14.38934004],[ 2.70882991 14.41183441],1,313308,0,0.0,0,0.6378780612739857,0.06748311976154031,darkorange,"[(20.912854170040443, 24.964708570019), (24.613776811308266, 24.888625053108086), (0.7971812092708812, 17.024379166364927)]"
63,63,True,[20.84830954 12.07742332],[20.91600719 12.14755026],1,430809,0,0.0,0,0.6092788422127344,0.6311425189328661,tomato,"[(21.88589442890989, 21.331875729743807), (24.6829660803897, 22.21200350418), (21.005119571300195, 15.805360543019596)]"
64,64,True,[16.91836663 13.0374088 ],[16.92602573 13.36300106],1,512736,0,0.0,0,0.02297729259710224,0.9767767525334546,turquoise,"[(18.248147630865798, 9.991547092184883), (15.973234932255602, 10.458766572771513), (16.729656243792462, 11.604860559909085)]"
65,65,True,[24.18881181 23.04625348],[24.23051625 22.94486798],1,419397,0,0.0,0,0.07506799976642786,0.3041565262761676,sandybrown,"[(23.08136518422535, 23.673476502636188), (20.238277653993784, 23.086252412224702), (21.978050594110133, 21.694911602187823)]"
66,66,True,[22.64287783 21.90040048],[22.14675288 21.97856888],1,443361,0,0.0,0,0.8930248971726776,0.23450521203027686,whitesmoke,"[(17.04500830223812, 22.991501683521285), (17.699518730311173, 20.757195929827322), (21.48030813899823, 21.344405007207477)]"
67,67,True,[13.03794178 24.54245014],[13.11333267 24.52041316],1,235967,0,0.0,0,0.6785180288136228,0.1983327648699147,royalblue,"[(3.7927383542022635, 22.149874092458166), (1.7578185826981367, 24.113322932141653), (2.3930412590768935, 23.117046483694978)]"
68,68,True,[22.13221599 16.19233629],[22.33917496 16.16156542],1,421674,0,0.0,0,0.6208769217906038,0.09231261999221696,lightsteelblue,"[(22.79859956497512, 17.95120949592601), (22.69572312437162, 16.819437304169544), (23.466783796692656, 15.06153963682808)]"
69,69,True,[21.8933243   8.73338479],[21.46357038  8.4542391 ],1,409684,0,0.0,0,0.5525407577919174,0.8374370819649362,grey,"[(23.321098647752734, 13.01643155003792), (22.38202327448385, 13.651982381874705), (22.609070458172198, 9.652435899626287)]"
70,70,True,[2.74808458 0.80044663],[2.35523581 0.7910481 ],1,342278,0,0.0,0,0.7071277834028571,0.08458681868563711,goldenrod,"[(5.553181230179256, 1.8171496719005753), (5.344913160267283, 4.428196693532166), (4.007808654382547, 0.19363635833167236)]"
71,71,True,[ 2.01338182 23.63782426],[ 1.92288096 23.88349037],1,315709,0,0.0,0,0.16290154306572957,0.31585643496037996,darkviolet,"[(20.338433715187477, 24.14286730879076), (21.542082264193866, 24.00546431237607), (1.7047013650472849, 24.02274372885348)]"
72,72,True,[10.38346298 20.19638178],[10.46664762 20.222346  ],1,266509,0,0.0,0,0.7486616844940199,0.0778926484559278,beige,"[(13.913173795101466, 23.95859038413388), (12.928595026839757, 23.36080500551547), (11.373277653182534, 19.82316899688404)]"
73,73,True,[17.54877013  8.46722416],[17.49792984  8.85898981],1,546287,0,0.0,0,0.457562636432435,0.39176565731430035,mediumturquoise,"[(18.065329910051865, 10.089729763722826), (16.815585246205004, 8.89516010332301), (16.301986016381825, 8.717757208044405)]"
74,74,True,[13.08246279 11.20286633],[13.31620825 11.14593057],1,500090,0,0.0,0,0.420741831345548,0.5124218563459572,dimgrey,"[(17.217473691029433, 12.012699801963102), (17.25757352345188, 12.584560437148678), (17.32078501445506, 11.99569036085106)]"
75,75,True,[23.74480616 12.51197568],[23.76169678 12.63592388],1,388455,0,0.0,0,0.1520155326921745,0.12394819897645137,chocolate,"[(22.091727278912483, 11.948404529654386), (23.97210541941697, 12.316383354784687), (24.631536955700966, 11.43851292732651)]"
76,76,True,[19.32261251 23.59936661],[19.44074218 23.44648664],1,437269,0,0.0,0,0.11812966862341423,0.45863989325586463,limegreen,"[(19.87049677576942, 20.669552475009464), (20.369267475264056, 21.43576414998274), (20.869241761796943, 24.853495526043325)]"
77,77,True,[ 3.36417134 10.36115683],[ 3.43525843 10.08014143],1,389547,0,0.0,0,0.07108708511406159,0.8430461754944398,aquamarine,"[(0.921927568446496, 5.490768307040982), (2.7571535452023626, 10.323107335494141), (3.3764200915587295, 11.23970429756213)]"
78,78,True,[20.86124685 21.0442764 ],[21.1224548  21.02017502],1,496692,0,0.0,0,0.7836238329963442,0.21691246188117308,aqua,"[(15.734631956039053, 17.106301645699936), (17.42381321635666, 16.642692012506405), (19.88872455963241, 19.447555796385537)]"
79,79,True,[16.26463541  7.43465301],[16.00528319  7.37751164],1,469577,0,0.0,0,0.778056683414992,0.5142723778658544,cornsilk,"[(14.967279942078617, 13.109403150709099), (16.4362870530065, 9.705892091150382), (14.782466890698572, 8.797665101615005)]"
80,80,True,[ 3.39186945 18.98524407],[ 3.34023347 19.08972018],1,301523,0,0.0,0,0.06638912470400771,0.3134283568018773,rosybrown,"[(1.9171183537590104, 22.97531016316326), (3.9510949779351177, 22.088357015778126), (3.5521567189830217, 19.936976353357046)]"
81,81,True,[24.95536988 19.64042016],[-1035.59018634  1388.54406365],1,366183,0,0.0,0,0.3369573907862493,0.6076996209947324,chocolate,"[(22.067324062966566, 22.841315513555063), (20.139051593242097, 23.956592263661285), (24.599269204379787, 24.19761714674295)]"
82,82,True,[0.77661637 6.3885918 ],[0.49522991 6.33332846],1,326854,0,0.0,0,0.5064956287521355,0.49737007778018627,darkorange,"[(3.0128028149781843, 8.908156591947671), (1.9924150490475507, 8.728675858954498), (0.47218469438229027, 6.557917054183546)]"
83,83,True,[17.40278051 12.07948199],[17.39925906 11.17809657],1,456199,0,0.0,0,0.03169303445169103,0.9013854246398778,lightgoldenrodyellow,"[(17.048028839932073, 13.763780321987488), (17.63227154341302, 15.633539239661216), (17.079855354231835, 12.928644161378406)]"
84,84,True,[ 4.62094888 24.78861586],[ 4.15831238 24.65332998],1,240532,0,0.0,0,0.46263649626102676,0.24351457437660207,darkgreen,"[(5.944554411240136, 23.675766113101012), (6.351272850254431, 24.58674995589419), (7.280438124452521, 24.810564645899817)]"
85,85,True,[20.26749768  9.12112231],[20.58236199  8.80474563],1,548288,0,0.0,0,0.4048255347028481,0.5694780139666984,blue,"[(19.10087415742234, 8.045702884481422), (19.182094501113347, 8.120502255811674), (20.339399418438816, 8.745156169082227)]"
86,86,True,[11.71774892  1.00878126],[12.42219965  1.52155918],1,299239,0,0.0,1,0.7044507344388439,0.6592859060069625,blue,"[(16.13269632276849, 1.7632202791059646), (16.440785111455238, 1.522399646596811), (12.612525605073516, 1.3320307660082011)]"
87,87,True,[ 4.14964568 10.11286132],[4.10854864 9.91240238],1,342524,0,0.0,0,0.3698733355666839,0.6013768478498162,pink,"[(0.14735600505727153, 4.992090890695022), (1.8313658031087625, 9.591394091765366), (3.1587473692352597, 10.93172538566994)]"
